Interval_id,Circuit_Name,Down_timestamp,Up_timestamp,Duration,switch_name,switch_status,Net_id,Chain_id,shunting_status
T2217,C01TPR,2025-05-15 02:22:42,2025-05-15 02:23:46,00:01:04,No switch,Switch position N,156,125,Normal
T2465,H01TPR,2025-05-15 02:22:49,2025-05-15 02:23:53,00:01:04,No switch,Switch position N,156,125,Normal
T2103,16TPR,2025-05-15 02:22:58,2025-05-15 02:24:00,00:01:02,No switch,Switch position N,156,125,Normal
T412,04_14TPR,2025-05-15 02:23:05,2025-05-15 02:24:11,00:01:06,No switch,Switch position N,156,125,Normal
T545,N101ATPR,2025-05-15 02:23:18,2025-05-15 02:24:21,00:01:03,101NDKR,Switch position N,156,125,Normal
T1021,N103BTPR,2025-05-15 02:23:29,2025-05-15 02:24:32,00:01:03,103NDKR,Switch position N,156,125,Normal
T1814,111CTPR,2025-05-15 02:23:41,2025-05-15 02:24:49,00:01:08,No switch,Switch position N,156,125,Normal
T1699,N111BTPR,2025-05-15 02:24:00,2025-05-15 02:24:57,00:00:57,111NDKR,Switch position N,156,125,Normal
T2690,OMATPR,2025-05-15 02:24:09,2025-05-15 02:25:14,00:01:05,No switch,Switch position N,156,125,Normal
T2770,OMBTPR,2025-05-15 02:24:27,2025-05-15 02:25:30,00:01:03,No switch,Switch position N,156,125,Normal
T2848,OMCTPR,2025-05-15 02:24:45,2025-05-15 02:25:47,00:01:02,No switch,Switch position N,156,125,Normal
T1247,N104BTPR,2025-05-15 02:25:03,2025-05-15 02:25:57,00:00:54,104NDKR,Switch position N,156,125,Normal
T799,N102BTPR,2025-05-15 02:25:14,2025-05-15 02:26:01,00:00:47,102NDKR,Switch position N,156,125,Normal
T235,03_13TPR,2025-05-15 02:25:18,2025-05-15 02:26:10,00:00:52,No switch,Switch position N,156,125,Normal
T1993,15TPR,2025-05-15 02:25:28,2025-05-15 02:26:16,00:00:48,No switch,Switch position N,156,125,Normal
T2579,H02TPR,2025-05-15 02:25:34,2025-05-15 02:26:22,00:00:48,No switch,Switch position N,156,125,Normal
T2331,C02TPR,2025-05-15 02:25:39,2025-05-15 02:26:26,00:00:47,No switch,Switch position N,156,125,Normal
T2332,C02TPR,2025-05-15 03:42:46,2025-05-15 03:43:41,00:00:55,No switch,Switch position N,91,30,Normal
T2580,H02TPR,2025-05-15 03:42:52,2025-05-15 03:43:47,00:00:55,No switch,Switch position N,91,30,Normal
T1994,15TPR,2025-05-15 03:42:59,2025-05-15 03:43:53,00:00:54,No switch,Switch position N,91,30,Normal
T236,03_13TPR,2025-05-15 03:43:06,2025-05-15 03:44:04,00:00:58,No switch,Switch position N,91,30,Normal
T800,N102BTPR,2025-05-15 03:43:17,2025-05-15 03:44:08,00:00:51,102NDKR,Switch position N,91,30,Normal
T1248,N104BTPR,2025-05-15 03:43:21,2025-05-15 03:44:20,00:00:59,104NDKR,Switch position N,91,30,Normal
T2849,OMCTPR,2025-05-15 03:43:33,2025-05-15 03:44:39,00:01:06,No switch,Switch position N,91,30,Normal
T2771,OMBTPR,2025-05-15 03:43:51,2025-05-15 03:44:59,00:01:08,No switch,Switch position N,91,30,Normal
T2691,OMATPR,2025-05-15 03:44:09,2025-05-15 03:45:19,00:01:10,No switch,Switch position N,91,30,Normal
T1700,N111BTPR,2025-05-15 03:44:27,2025-05-15 03:45:28,00:01:01,111NDKR,Switch position N,91,30,Normal
T1815,111CTPR,2025-05-15 03:44:35,2025-05-15 03:45:47,00:01:12,No switch,Switch position N,91,30,Normal
T1022,N103BTPR,2025-05-15 03:44:54,2025-05-15 03:46:00,00:01:06,103NDKR,Switch position N,91,30,Normal
T546,N101ATPR,2025-05-15 03:45:06,2025-05-15 03:46:10,00:01:04,101NDKR,Switch position N,91,30,Normal
