Route_id,Route-name,Route_circuit,Circuit_count,Switch_count,Switches
R1,Main Line(DN),C01TPR-H01TPR-16TPR-04_14TPR-N101ATPR-N103BTPR-111CTPR-N111BTPR-OMATPR-OMBTPR-OMCTPR-N104BTPR-N102BTPR-03_13TPR-15TPR-H02TPR-C02TPR,,,
R2,Main Line(UP),C02TPR-H02TPR-15TPR-03_13TPR-N102BTPR-N104BTPR-OMCTPR-OMBTPR-OMATPR-N111BTPR-111CTPR-N103BTPR-N101ATPR-04_14TPR-16TPR-H01TPR-C01TPR,,,
R3,Loop 1 to BS(DN),C01TPR-H01TPR-16TPR-04_14TPR-N101ATPR-N103BTPR-111CTPR-R111BTPR-R111ATPR-01ATPR-01BTPR-01CTPR-N104ATPR-112TPR,,,
R4,Loop 1 to Main(DN),C01TPR-H01TPR-16TPR-04_14TPR-N101ATPR-N103BTPR-111CTPR-R111BTPR-R111ATPR-01ATPR-01BTPR-01CTPR-R104ATPR-R104BTPR-N102BTPR-03_13TPR-15TPR-H02TPR-C02TPR,,,
R5,Loop 2 to TC(DN),C01TPR-H01TPR-16TPR-04_14TPR-N101ATPR-R103BTPR-R103ATPR-N105BTPR-02ATPR-02BTPR-02CTPR-N106BTPR-N102ATPR,,,
R6,Loop 2 to Main(DN),C01TPR-H01TPR-16TPR-04_14TPR-N101ATPR-R103BTPR-R103ATPR-N105BTPR-02ATPR-02BTPR-02CTPR-N106BTPR-R102ATPR-R102BTPR-03_13TPR-15TPR-H02TPR-C02TPR,,,
R7,Loop 3 to BS(DN),C01TPR-H01TPR-16TPR-04_14TPR-N101ATPR-R103BTPR-R103ATPR-R105BTPR-R105ATPR-N107BTPR-03ATPR-03BTPR-03CTPR-N108BTPR-N106ATPR,,,
R8,Loop 3 to TC(DN),C01TPR-H01TPR-16TPR-04_14TPR-N101ATPR-R103BTPR-R103ATPR-R105BTPR-R105ATPR-N107BTPR-03ATPR-03BTPR-03CTPR-N108BTPR-R106ATPR-R106BTPR-N102ATPR,,,
R9,Loop 3 to Main(DN),C01TPR-H01TPR-16TPR-04_14TPR-N101ATPR-R103BTPR-R103ATPR-R105BTPR-R105ATPR-N107BTPR-03ATPR-03BTPR-03CTPR-N108BTPR-R106ATPR-R106BTPR-R102ATPR-R102BTPR-03_13TPR-15TPR-H02TPR-C02TPR,,,
R10,Loop 1 to BS(UP),C02TPR-H02TPR-15TPR-03_13TPR-N102BTPR-R104BTPR-R104ATPR-01CTPR-01BTPR-01ATPR-N111ATPR-113TPR-N101BTPR,,,
R11,Loop 1 to Main (UP),C02TPR-H02TPR-15TPR-03_13TPR-N102BTPR-R104BTPR-R104ATPR-01CTPR-01BTPR-01ATPR-R111ATPR-R111BTPR-111CTPR-N103BTPR-N101ATPR-04_14TPR-16TPR-H01TPR-C01TPR,,,
R12,Loop 2 to BS(UP),C02TPR-H02TPR-15TPR-03_13TPR-R102BTPR-R102ATPR-N106BTPR-02CTPR-02BTPR-02ATPR-N105BTPR-N103ATPR,,,
R13,Loop 2 to Main (UP),C02TPR-H02TPR-15TPR-03_13TPR-R102BTPR-R102ATPR-N106BTPR-02CTPR-02BTPR-02ATPR-N105BTPR-R103ATPR-R103BTPR-N101ATPR-04_14TPR-16TPR-H01TPR-C01TPR,,,
R14,Loop 3 to Main (UP),C02TPR-H02TPR-15TPR-03_13TPR-R102BTPR-R102ATPR-R106BTPR-R106ATPR-N108BTPR-03CTPR-03BTPR-03ATPR-N107BTPR-R105ATPR-R105BTPR-R103ATPR-R103BTPR-N101ATPR-04_14TPR-16TPR-H01TPR-C01TPR,,,
