Net_id,Chain_id,Chain_interval
1,1,T1988 - T1683 - T48 - T100 - T50 - T1684 - T1783 - T1927 - T1145 - T665 - T506 - T666 - T1146 - T1929 - T1784 - T2751 - T2831 - T2752 - T1785 - T1930 - T1147 - T667 - T758
2,13,T1562 - T1614 - T1415 - T1479 - T1018 - T1197 - T717 - T539 - T2211 - T2573 - T2325
3,136,T763 - T683 - T1163 - T1001 - T1462 - T1401 - T1596 - T1555
4,137,T759 - T668 - T1148 - T1931 - T1786 - T2753 - T1787 - T1933 - T1149 - T669 - T507 - T670 - T1150 - T1934 - T1788 - T1685 - T52 - T1686 - T1989
5,138,T2424 - T2673 - T2086 - T347 - T936 - T1352 - T1242 - T147 - T105 - T61 - T1692 - T1798 - T1949 - T1172 - T692 - T523 - T2200 - T2562 - T2314
6,139,T2223 - T2471 - T2109 - T419 - T554 - T1029 - T1824 - T1706 - T2695 - T2775 - T2853 - T1254 - T807 - T241 - T1997 - T2583 - T2335
7,140,T1554 - T1595 - T1400 - T1461 - T1000 - T1162 - T682 - T762
8,141,T761 - T681 - T1161 - T999 - T1460 - T1399 - T1594 - T1553
9,142,T2395 - T2643 - T2057 - T313 - T897 - T1324 - T1230 - T137 - T95 - T138 - T1231 - T1327 - T900 - T316 - T2060 - T2646 - T2398
10,143,T2340 - T2588 - T2002 - T246 - T812 - T1259 - T1208 - T114 - T74 - T7 - T1649 - T1710 - T1831 - T1039 - T560 - T425 - T2115 - T2477 - T2229
11,144,T2256 - T2504 - T2142 - T454 - T595 - T1074 - T1864 - T1736 - T1663 - T26
11,145,T26 - T86
11,146,T86 - T125 - T1218 - T1287 - T847 - T274 - T848 - T771 - T1509 - T1484 - T1624 - T392 - T380 - T367 - T1576 - T1381 - T1429 - T968 - T1076 - T597 - T739
11,148,T26 - T1664 - T1978 - T3045 - T736
11,150,T26 - T1666 - T1738 - T1866 - T1077 - T598 - T455 - T2143 - T2505 - T2257
11,124,T740 - T3046 - T1979 - T1665 - T26
11,169,T737 - T596 - T1075 - T1865 - T1737 - T2716 - T2796 - T2874 - T1288 - T849 - T275 - T850 - T1289 - T1219 - T126 - T86
