"Interval_id","Circuit_name","Down_date","Down_time","Up_date","Up_time","Duration","switch_name","switch_status"
T1,"01ATPR","2023-05-27","09:26:34","9999-01-01","00:00:00","00:00:00",No switch,Switch_position_N
T2,"01BTPR","2023-05-27","10:17:49","2023-05-27","11:11:56","00:54:07",No switch,Switch_position_N
T3,"01BTPR","2023-05-27","14:59:47","2023-05-27","15:01:19","00:01:32",No switch,Switch_position_N
T4,"01BTPR","2023-05-27","16:59:58","2023-05-27","17:02:01","00:02:03",No switch,Switch_position_N
T5,"01BTPR","2023-05-28","05:48:12","2023-05-28","07:05:05","01:16:53",No switch,Switch_position_N
T6,"01BTPR","2023-05-28","08:27:58","2023-05-28","08:50:08","00:22:10",No switch,Switch_position_N
T7,"01BTPR","2023-05-28","09:55:15","2023-05-28","17:57:51","08:02:36",No switch,Switch_position_N
T8,"01BTPR","2023-05-29","07:53:33","2023-05-29","07:55:29","00:01:56",No switch,Switch_position_N
T9,"01BTPR","2023-05-29","09:27:09","2023-05-29","10:07:57","00:40:48",No switch,Switch_position_N
T10,"01BTPR","2023-05-30","09:01:17","2023-05-30","10:23:18","01:22:01",No switch,Switch_position_N
T11,"01BTPR","2023-05-30","11:48:24","2023-05-30","11:51:18","00:02:54",No switch,Switch_position_N
T12,"01BTPR","2023-05-31","06:26:18","2023-05-31","06:27:02","00:00:44",No switch,Switch_position_N
T13,"01BTPR","2023-05-31","06:38:01","2023-05-31","09:22:31","02:44:30",No switch,Switch_position_N
T14,"01BTPR","2023-05-31","10:45:26","2023-05-31","10:47:12","00:01:46",No switch,Switch_position_N
T15,"01BTPR","2023-05-31","11:03:14","2023-05-31","14:21:53","03:18:39",No switch,Switch_position_N
T16,"02ATPR","2023-05-26","13:29:54","2023-05-26","13:32:27","00:02:33",No switch,Switch_position_N
T17,"02ATPR","2023-05-26","23:06:38","2023-05-26","23:24:12","00:17:34",No switch,Switch_position_N
T18,"02ATPR","2023-05-27","05:09:54","2023-05-27","05:34:42","00:24:48",No switch,Switch_position_N
T19,"02ATPR","2023-05-27","08:51:18","2023-05-27","09:15:09","00:23:51",No switch,Switch_position_N
T20,"02ATPR","2023-05-27","10:54:38","2023-05-27","12:02:23","01:07:45",No switch,Switch_position_N
T21,"02ATPR","2023-05-27","16:52:04","2023-05-27","17:20:43","00:28:39",No switch,Switch_position_N
T22,"02ATPR","2023-05-27","23:56:31","2023-05-28","00:15:06","00:18:35",No switch,Switch_position_N
T23,"02ATPR","2023-05-28","00:35:34","2023-05-28","00:46:09","00:10:35",No switch,Switch_position_N
T24,"02ATPR","2023-05-28","01:01:38","2023-05-28","01:12:43","00:11:05",No switch,Switch_position_N
T25,"02ATPR","2023-05-28","15:40:19","2023-05-28","16:01:35","00:21:16",No switch,Switch_position_N
T26,"02ATPR","2023-05-29","07:28:57","2023-05-29","07:48:28","00:19:31",No switch,Switch_position_N
T27,"02ATPR","2023-05-29","23:24:42","2023-05-29","23:37:24","00:12:42",No switch,Switch_position_N
T28,"02ATPR","2023-05-30","02:41:59","2023-05-30","03:00:18","00:18:19",No switch,Switch_position_N
T29,"02ATPR","2023-05-30","05:27:00","2023-05-30","06:27:52","01:00:52",No switch,Switch_position_N
T30,"02ATPR","2023-05-30","08:56:21","2023-05-30","08:57:26","00:01:05",No switch,Switch_position_N
T31,"02ATPR","2023-05-30","23:22:43","2023-05-30","23:39:28","00:16:45",No switch,Switch_position_N
T32,"02ATPR","2023-05-31","11:14:38","2023-05-31","11:33:22","00:18:44",No switch,Switch_position_N
T33,"02ATPR","2023-05-31","13:03:06","2023-05-31","13:20:43","00:17:37",No switch,Switch_position_N
