Interval_id,Circuit_name,Down_date,Down_time,Up_date,Up_time,Duration,switch_name,switch_status
T3384,UD_STBD.BPAC_VPR1,2025-05-15,01:51:24,2025-05-15,02:23:58,00:32:33,No switch,Switch position N
T3499,UD_STBD.BPAC_VPR2,2025-05-15,01:51:25,2025-05-15,02:23:58,00:32:33,No switch,Switch position N
T2217,C01TPR,2025-05-15,02:22:42,2025-05-15,02:23:46,00:01:04,No switch,Switch position N
T2465,H01TPR,2025-05-15,02:22:49,2025-05-15,02:23:53,00:01:04,No switch,Switch position N
T2103,16TPR,2025-05-15,02:22:58,2025-05-15,02:24:00,00:01:02,No switch,Switch position N
T412,04_14TPR,2025-05-15,02:23:05,2025-05-15,02:24:11,00:01:05,No switch,Switch position N
T545,101ATPR,2025-05-15,02:23:18,2025-05-15,02:24:21,00:01:03,101_NWKR,Switch position N
T1021,103BTPR,2025-05-15,02:23:29,2025-05-15,02:24:32,00:01:03,103_NWKR,Switch position N
T1814,111CTPR,2025-05-15,02:23:41,2025-05-15,02:24:49,00:01:07,No switch,Switch position N
T1699,111BTPR,2025-05-15,02:24:00,2025-05-15,02:24:57,00:00:57,111_NWKR,Switch position N
T2690,OMATPR,2025-05-15,02:24:09,2025-05-15,02:25:14,00:01:05,No switch,Switch position N
T2928,OMTPR,2025-05-15,02:24:09,2025-05-15,02:25:47,00:01:38,No switch,Switch position N
T2770,OMBTPR,2025-05-15,02:24:27,2025-05-15,02:25:30,00:01:02,No switch,Switch position N
T2848,OMCTPR,2025-05-15,02:24:45,2025-05-15,02:25:47,00:01:01,No switch,Switch position N
T1247,104BTPR,2025-05-15,02:25:03,2025-05-15,02:25:57,00:00:53,104_NWKR,Switch position N
T799,102BTPR,2025-05-15,02:25:14,2025-05-15,02:26:01,00:00:46,102_NWKR,Switch position N
T235,03_13TPR,2025-05-15,02:25:18,2025-05-15,02:26:10,00:00:52,No switch,Switch position N
T1993,15TPR,2025-05-15,02:25:28,2025-05-15,02:26:16,00:00:48,No switch,Switch position N
T3164,UD_GDRA.BPAC_VPR1,2025-05-15,02:25:30,2025-05-15,02:50:29,00:24:59,No switch,Switch position N
T3274,UD_GDRA.BPAC_VPR2,2025-05-15,02:25:30,2025-05-15,02:50:28,00:24:58,No switch,Switch position N
T3054,UD_GDRA.BPAC_VPR,2025-05-15,02:25:31,2025-05-15,02:50:29,00:24:58,No switch,Switch position N
T2579,H02TPR,2025-05-15,02:25:34,2025-05-15,02:26:22,00:00:47,No switch,Switch position N
T2331,C02TPR,2025-05-15,02:25:39,2025-05-15,02:26:26,00:00:47,No switch,Switch position N
T3165,UD_GDRA.BPAC_VPR1,2025-05-15,03:17:14,2025-05-15,03:43:52,00:26:37,No switch,Switch position N
T3275,UD_GDRA.BPAC_VPR2,2025-05-15,03:17:14,2025-05-15,03:43:52,00:26:37,No switch,Switch position N
T3055,UD_GDRA.BPAC_VPR,2025-05-15,03:17:16,2025-05-15,03:43:53,00:26:37,No switch,Switch position N
T2332,C02TPR,2025-05-15,03:42:46,2025-05-15,03:43:41,00:00:55,No switch,Switch position N
T2580,H02TPR,2025-05-15,03:42:52,2025-05-15,03:43:47,00:00:54,No switch,Switch position N
T1994,15TPR,2025-05-15,03:42:59,2025-05-15,03:43:53,00:00:54,No switch,Switch position N
T236,03_13TPR,2025-05-15,03:43:06,2025-05-15,03:44:04,00:00:57,No switch,Switch position N
T800,102BTPR,2025-05-15,03:43:17,2025-05-15,03:44:08,00:00:51,102_NWKR,Switch position N
T1248,104BTPR,2025-05-15,03:43:21,2025-05-15,03:44:20,00:00:58,104_NWKR,Switch position N
T2849,OMCTPR,2025-05-15,03:43:33,2025-05-15,03:44:39,00:01:06,No switch,Switch position N
T2929,OMTPR,2025-05-15,03:43:33,2025-05-15,03:45:19,00:01:45,No switch,Switch position N
T2771,OMBTPR,2025-05-15,03:43:51,2025-05-15,03:44:59,00:01:07,No switch,Switch position N
T2691,OMATPR,2025-05-15,03:44:09,2025-05-15,03:45:19,00:01:10,No switch,Switch position N
T1700,111BTPR,2025-05-15,03:44:27,2025-05-15,03:45:28,00:01:01,111_NWKR,Switch position N
T1815,111CTPR,2025-05-15,03:44:35,2025-05-15,03:45:47,00:01:11,No switch,Switch position N
T1022,103BTPR,2025-05-15,03:44:54,2025-05-15,03:46:00,00:01:06,103_NWKR,Switch position N
T546,101ATPR,2025-05-15,03:45:06,2025-05-15,03:46:10,00:01:04,101_NWKR,Switch position N
T413,04_14TPR,2025-05-15,03:45:16,2025-05-15,03:46:23,00:01:06,No switch,Switch position N
T2104,16TPR,2025-05-15,03:45:28,2025-05-15,03:46:30,00:01:02,No switch,Switch position N
T3385,UD_STBD.BPAC_VPR1,2025-05-15,03:45:30,2025-05-15,04:15:30,00:30:00,No switch,Switch position N
T3500,UD_STBD.BPAC_VPR2,2025-05-15,03:45:30,2025-05-15,04:15:30,00:30:00,No switch,Switch position N
T2466,H01TPR,2025-05-15,03:45:35,2025-05-15,03:46:39,00:01:03,No switch,Switch position N
T2218,C01TPR,2025-05-15,03:45:42,2025-05-15,03:46:45,00:01:03,No switch,Switch position N
T3386,UD_STBD.BPAC_VPR1,2025-05-15,07:35:42,2025-05-15,08:07:59,00:32:17,No switch,Switch position N
T3501,UD_STBD.BPAC_VPR2,2025-05-15,07:35:42,2025-05-15,08:07:59,00:32:16,No switch,Switch position N
T2219,C01TPR,2025-05-15,08:05:22,2025-05-15,08:07:13,00:01:51,No switch,Switch position N
T2467,H01TPR,2025-05-15,08:05:31,2025-05-15,08:07:41,00:02:09,No switch,Switch position N
T2105,16TPR,2025-05-15,08:05:42,2025-05-15,08:08:05,00:02:22,No switch,Switch position N
T414,04_14TPR,2025-05-15,08:05:53,2025-05-15,08:08:46,00:02:53,No switch,Switch position N
T547,101ATPR,2025-05-15,08:06:13,2025-05-15,08:09:31,00:03:18,101_NWKR,Switch position N
T1023,103BTPR,2025-05-15,08:06:32,2025-05-15,08:09:52,00:03:19,103_RWKR,Switch position R
T955,103ATPR,2025-05-15,08:06:46,2025-05-15,08:10:12,00:03:25,103_RWKR,Switch position R
T1416,105BTPR,2025-05-15,08:07:03,2025-05-15,08:10:41,00:03:38,105_RWKR,Switch position R
T1368,105ATPR,2025-05-15,08:07:28,2025-05-15,08:11:02,00:03:34,105_RWKR,Switch position R
T1563,107BTPR,2025-05-15,08:07:44,2025-05-15,08:11:26,00:03:42,107_NWKR,Switch position N
T365,03ATPR,2025-05-15,08:08:01,2025-05-17,02:14:15,18:06:14,No switch,Switch position N
T402,03TPR,2025-05-15,08:08:01,2025-05-17,02:14:16,18:06:14,No switch,Switch position N
T377,03BTPR,2025-05-15,08:09:58,2025-05-17,02:11:07,18:01:09,No switch,Switch position N
T390,03CTPR,2025-05-15,08:11:23,2025-05-17,02:09:14,17:57:50,No switch,Switch position N
T3166,UD_GDRA.BPAC_VPR1,2025-05-15,08:27:23,2025-05-15,08:54:23,00:26:59,No switch,Switch position N
T3276,UD_GDRA.BPAC_VPR2,2025-05-15,08:27:23,2025-05-15,08:54:23,00:26:59,No switch,Switch position N
T3056,UD_GDRA.BPAC_VPR,2025-05-15,08:27:24,2025-05-15,08:54:24,00:26:59,No switch,Switch position N
T2333,C02TPR,2025-05-15,08:52:24,2025-05-15,08:54:00,00:01:36,No switch,Switch position N
T2581,H02TPR,2025-05-15,08:52:33,2025-05-15,08:54:13,00:01:39,No switch,Switch position N
T1995,15TPR,2025-05-15,08:52:45,2025-05-15,08:54:26,00:01:41,No switch,Switch position N
T237,03_13TPR,2025-05-15,08:52:56,2025-05-15,08:54:50,00:01:53,No switch,Switch position N
T801,102BTPR,2025-05-15,08:53:16,2025-05-15,08:54:59,00:01:43,102_NWKR,Switch position N
T1249,104BTPR,2025-05-15,08:53:24,2025-05-15,08:55:24,00:01:59,104_NWKR,Switch position N
T2850,OMCTPR,2025-05-15,08:53:47,2025-05-15,08:56:00,00:02:12,No switch,Switch position N
T2930,OMTPR,2025-05-15,08:53:47,2025-05-15,08:57:01,00:03:13,No switch,Switch position N
T2772,OMBTPR,2025-05-15,08:54:26,2025-05-15,08:56:32,00:02:05,No switch,Switch position N
T2692,OMATPR,2025-05-15,08:55:05,2025-05-15,08:57:01,00:01:55,No switch,Switch position N
T1701,111BTPR,2025-05-15,08:55:41,2025-05-15,08:57:13,00:01:32,111_NWKR,Switch position N
T1816,111CTPR,2025-05-15,08:55:57,2025-05-15,08:57:37,00:01:40,No switch,Switch position N
T1024,103BTPR,2025-05-15,08:56:27,2025-05-15,08:57:52,00:01:25,103_NWKR,Switch position N
T548,101ATPR,2025-05-15,08:56:46,2025-05-15,08:58:04,00:01:18,101_NWKR,Switch position N
T415,04_14TPR,2025-05-15,08:57:01,2025-05-15,08:58:18,00:01:17,No switch,Switch position N
T2106,16TPR,2025-05-15,08:57:16,2025-05-15,08:58:25,00:01:09,No switch,Switch position N
T3387,UD_STBD.BPAC_VPR1,2025-05-15,08:57:19,2025-05-15,09:24:38,00:27:19,No switch,Switch position N
T3502,UD_STBD.BPAC_VPR2,2025-05-15,08:57:19,2025-05-15,09:24:38,00:27:18,No switch,Switch position N
T2468,H01TPR,2025-05-15,08:57:25,2025-05-15,08:58:34,00:01:08,No switch,Switch position N
T2220,C01TPR,2025-05-15,08:57:34,2025-05-15,08:58:41,00:01:06,No switch,Switch position N
T3167,UD_GDRA.BPAC_VPR1,2025-05-15,09:02:12,2025-05-15,09:19:35,00:17:22,No switch,Switch position N
T3277,UD_GDRA.BPAC_VPR2,2025-05-15,09:02:13,2025-05-15,09:19:35,00:17:22,No switch,Switch position N
T3057,UD_GDRA.BPAC_VPR,2025-05-15,09:02:14,2025-05-15,09:19:36,00:17:22,No switch,Switch position N
T2334,C02TPR,2025-05-15,09:19:00,2025-05-15,09:19:22,00:00:21,No switch,Switch position N
T2582,H02TPR,2025-05-15,09:19:05,2025-05-15,09:19:28,00:00:22,No switch,Switch position N
T1996,15TPR,2025-05-15,09:19:10,2025-05-15,09:19:38,00:00:27,No switch,Switch position N
T238,03_13TPR,2025-05-15,09:19:16,2025-05-15,09:19:57,00:00:40,No switch,Switch position N
T802,102BTPR,2025-05-15,09:19:26,2025-05-15,09:20:05,00:00:39,102_NWKR,Switch position N
T1250,104BTPR,2025-05-15,09:19:32,2025-05-15,09:20:15,00:00:43,104_RWKR,Switch position R
T1203,104ATPR,2025-05-15,09:19:41,2025-05-15,09:20:27,00:00:45,104_RWKR,Switch position R
