"from","to","track_circuit_id","length","switch_controlled_by"
17,18,"C02TPR",73.6,
16,17,"H02TPR",88,
15,16,"15TPR",88.7,
14,15,"03_13TPR",152.6,
30,31,"N104ATPR",100.5,
12,13,"N104BTPR",164.8,
30,21,"R104ATPR",87.3,
21,13,"R104BTPR",76.7,
11,12,"OMCTPR",264,
10,11,"OMBTPR",252,
9,10,"OMATPR",257,
8,9,"N111BTPR",116.2,
26,27,"N111ATPR",116.2,
8,20,"R111BTPR",55.1,
20,27,"R111ATPR",60.4,
7,8,"111CTPR",242,
6,7,"N103BTPR",157.6,
35,36,"N103ATPR",142.1,
6,33,"R103BTPR",81,
33,36,"R103ATPR",78.8,
5,6,"N101ATPR",131,
23,24,"N101BTPR",98.2,
19,6,"R101ATPR",73,
23,19,"R101BTPR",59,
4,5,"04_14TPR",148.6,
3,4,"16TPR",87.2,
2,3,"H01TPR",90.4,
1,2,"C01TPR",78,
27,28,"01ATPR",255,
28,29,"01BTPR",250,
29,30,"01CTPR",266.2,
31,32,"112TPR",54.2,
45,46,"N105ATPR",110.8,
36,37,"N105BTPR",146.7,
43,46,"R105ATPR",53.3,
36,43,"R105BTPR",92.3,
37,38,"02ATPR",463,
38,39,"02BTPR",253.7,
39,40,"02CTPR",254.4,
41,42,"N102ATPR",64.2,
13,14,"N102BTPR",63.3,
34,41,"R102ATPR",58.2,
34,14,"R102BTPR",69.5,
40,41,"N106BTPR",110.8,
51,52,"N106ATPR",116.3,
41,44,"R106BTPR",53.4,
44,51,"R106ATPR",54,
50,51,"N108BTPR",80.5,
55,56,"N108ATPR",56.7,
51,56,"R108BTPR",44.6,
56,60,"R108ATPR",33.8,
49,50,"03CTPR",181.4,
48,49,"03BTPR",254,
47,48,"03ATPR",403,
46,47,"N107BTPR",63,
53,54,"R107ATPR",63.8,
46,53,"R107BTPR",47.2,
53,57,"N107ATPR",45.8,
25,26,"113TPR",42.1,
57,58,"109T",18,
59,60,"110T",22.6,
54,55,"GL1AC_VPR",747,
58,59,"GL2AC_VPR",747,
24,25,"SLAC_VPR",391,
22,23,"Shunting_Neck",404,
