Interval_id,Circuit_Name,Duration,switch_name,Circuit_Name.1,Movement_id,Route_id,Route_name,Down_date,Down_time,Up_date,Up_time
T2217,C01TPR,00:01:04,No switch,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:22:42,2025-05-15,02:23:46
T2465,H01TPR,00:01:04,No switch,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:22:49,2025-05-15,02:23:53
T2103,16TPR,00:01:02,No switch,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:22:58,2025-05-15,02:24:00
T412,04_14TPR,00:01:05,No switch,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:23:05,2025-05-15,02:24:11
T545,N101ATPR,00:01:03,101NDKR,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:23:18,2025-05-15,02:24:21
T1021,N103BTPR,00:01:03,103NDKR,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:23:29,2025-05-15,02:24:32
T1814,111CTPR,00:01:07,No switch,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:23:41,2025-05-15,02:24:49
T1699,N111BTPR,00:00:57,111NDKR,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:24:00,2025-05-15,02:24:57
T2690,OMATPR,00:01:05,No switch,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:24:09,2025-05-15,02:25:14
T2770,OMBTPR,00:01:02,No switch,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:24:27,2025-05-15,02:25:30
T2848,OMCTPR,00:01:01,No switch,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:24:45,2025-05-15,02:25:47
T1247,N104BTPR,00:00:53,104NDKR,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:25:03,2025-05-15,02:25:57
T799,N102BTPR,00:00:46,102NDKR,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:25:14,2025-05-15,02:26:01
T235,03_13TPR,00:00:52,No switch,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:25:18,2025-05-15,02:26:10
T1993,15TPR,00:00:48,No switch,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:25:28,2025-05-15,02:26:16
T2579,H02TPR,00:00:47,No switch,Switch position N,49.0,R1,Main Line(DN),2025-05-15,02:25:34,2025-05-15,02:26:22
