Net_id,Chain_id,Start_interval_id,Start_Circuit_Name,start_downtime,End_interval_id,End_Circuit_Name,End_uptime
1,1,T1988,113TPR,2025-05-20 11:22:05,T758,R101BTPR,2025-05-20 11:45:36
2,13,T1562,R107ATPR,2025-05-22 04:32:53,T2325,C01TPR,2025-05-22 04:42:54
3,136,T763,R101BTPR,2025-05-20 21:43:28,T1555,R107ATPR,2025-05-20 21:47:34
4,137,T759,R101BTPR,2025-05-20 12:52:54,T1989,113TPR,2025-05-20 13:05:33
5,138,T2424,C02TPR,2025-05-21 08:19:50,T2314,C01TPR,2025-05-21 08:29:04
6,139,T2223,C01TPR,2025-05-15 12:11:48,T2335,C02TPR,2025-05-15 12:15:59
7,140,T1554,R107ATPR,2025-05-20 21:35:38,T762,R101BTPR,2025-05-20 21:39:17
8,141,T761,R101BTPR,2025-05-20 20:36:47,T1553,R107ATPR,2025-05-20 20:53:34
9,142,T2395,C02TPR,2025-05-19 14:01:15,T2398,C02TPR,2025-05-19 15:53:59
10,143,T2340,C02TPR,2025-05-15 16:20:06,T2229,C01TPR,2025-05-15 16:34:03
11,144,T2256,C01TPR,2025-05-17 12:48:29,T26,01ATPR,2025-05-17 13:42:38
11,145,T26,01ATPR,2025-05-17 12:50:05,T86,01BTPR,2025-05-17 13:41:42
11,146,T86,01BTPR,2025-05-17 12:51:09,T739,R101BTPR,2025-05-17 13:17:59
11,148,T26,01ATPR,2025-05-17 12:50:05,T736,N101BTPR,2025-05-17 13:06:10
11,150,T26,01ATPR,2025-05-17 12:50:05,T2257,C01TPR,2025-05-17 13:44:15
11,124,T740,N101BTPR,2025-05-17 13:21:24,T26,01ATPR,2025-05-17 13:42:38
11,169,T737,R101BTPR,2025-05-17 13:09:32,T86,01BTPR,2025-05-17 13:41:42
12,152,T2427,C02TPR,2025-05-21 15:06:21,T2318,C01TPR,2025-05-21 15:11:50
13,153,T2262,C01TPR,2025-05-17 21:08:37,T2373,C02TPR,2025-05-17 21:12:55
14,154,T2380,C02TPR,2025-05-18 12:01:28,T782,N102ATPR,2025-05-19 06:20:40
15,155,T2304,C01TPR,2025-05-20 16:17:18,T2416,C02TPR,2025-05-20 16:39:55
16,156,T956,R103ATPR,2025-05-15 09:39:52,T1536,R107ATPR,2025-05-15 09:41:30
17,157,T2429,C02TPR,2025-05-21 15:49:14,T2430,C02TPR,2025-05-21 16:04:36
18,158,T1617,R108ATPR,2025-05-18 17:26:25,T781,N102ATPR,2025-05-18 17:32:01
19,159,T2392,C02TPR,2025-05-19 08:51:13,T2282,C01TPR,2025-05-19 09:00:45
20,160,T2312,C01TPR,2025-05-21 03:11:40,T2422,C02TPR,2025-05-21 03:16:03
21,15,T2240,C01TPR,2025-05-16 14:52:19,T2351,C02TPR,2025-05-16 15:09:37
22,161,T2352,C02TPR,2025-05-16 15:43:59,T2353,C02TPR,2025-05-16 16:02:35
23,162,T933,N102BTPR,2025-05-21 01:19:22,T2421,C02TPR,2025-05-21 01:23:46
24,163,T41,01ATPR,2025-05-20 04:29:45,T907,N102BTPR,2025-05-20 04:57:16
25,164,T2420,C02TPR,2025-05-21 00:17:20,T2310,C01TPR,2025-05-21 01:20:25
26,165,T1558,R107ATPR,2025-05-21 12:32:26,T764,R101BTPR,2025-05-21 12:42:15
27,167,T742,R101BTPR,2025-05-17 14:01:15,T1546,R107ATPR,2025-05-17 14:04:32
28,168,T2264,C01TPR,2025-05-17 22:53:49,T2375,C02TPR,2025-05-17 22:57:55
29,170,T2271,C01TPR,2025-05-18 15:16:26,T2887,OMCTPR,2025-05-18 15:19:04
30,16,T2254,C01TPR,2025-05-17 11:28:39,T2365,C02TPR,2025-05-17 11:32:45
31,171,T1542,R107ATPR,2025-05-16 21:01:42,T1543,R107ATPR,2025-05-16 21:17:02
32,172,T1620,R108ATPR,2025-05-20 06:28:02,T785,N102ATPR,2025-05-20 06:33:56
33,174,T908,N102BTPR,2025-05-20 06:30:33,T2404,C02TPR,2025-05-20 06:36:00
34,175,T2290,C01TPR,2025-05-20 01:17:31,T756,R101BTPR,2025-05-20 01:40:16
35,176,T2434,C02TPR,2025-05-22 02:14:16,T1561,R107ATPR,2025-05-22 02:39:06
36,177,T2303,C01TPR,2025-05-20 15:53:54,T791,N102ATPR,2025-05-20 17:04:19
37,178,T929,N102BTPR,2025-05-20 18:24:28,T2419,C02TPR,2025-05-20 18:27:46
38,179,T2280,C01TPR,2025-05-19 07:36:12,T372,03ATPR,2025-05-20 12:35:18
38,180,T372,03ATPR,2025-05-19 07:39:12,T397,03CTPR,2025-05-20 12:38:07
38,181,T397,03CTPR,2025-05-19 07:42:12,T787,N102ATPR,2025-05-20 09:35:07
38,183,T397,03CTPR,2025-05-19 07:42:12,T790,N102ATPR,2025-05-20 12:39:48
38,185,T372,03ATPR,2025-05-19 07:39:12,T141,01CTPR,2025-05-20 10:54:00
38,186,T141,01CTPR,2025-05-20 10:15:56,T1234,R104ATPR,2025-05-20 10:39:03
38,187,T141,01CTPR,2025-05-20 10:15:56,T1234,R104ATPR,2025-05-20 10:39:03
38,188,T141,01CTPR,2025-05-20 10:15:56,T918,N102BTPR,2025-05-20 10:58:35
38,135,T788,N102ATPR,2025-05-20 10:58:26,T397,03CTPR,2025-05-20 12:38:07
38,166,T913,N102BTPR,2025-05-20 09:35:02,T372,03ATPR,2025-05-20 12:35:18
39,189,T2276,C01TPR,2025-05-18 21:39:33,T1316,N104BTPR,2025-05-18 21:43:41
