Circuit_Name,Switch_position_N,Switch_position_R
C01TPR,H01TPR,
H01TPR,"16TPR,C01TPR",
16TPR,"04_14TPR,H01TPR",
04_14TPR,"N101ATPR,16TPR",
N101ATPR,"N103BTPR,R103BTPR,04_14TPR",
R101ATPR,"R101BTPR,N103BTPR,R103BTPR",
N103BTPR,"111CTPR,N101ATPR,R101ATPR",
R103BTPR,"R103ATPR,N101ATPR,R101ATPR",
111CTPR,"N111BTPR,R111BTPR,N103BTPR",
N111BTPR,"OMATPR,111CTPR",
R111BTPR,"111CTPR,R111ATPR",
OMCTPR,"N104BTPR,OMBTPR",
OMATPR,"OMBTPR,N111BTPR",
OMBTPR,"OMCTPR,OMATPR",
N104BTPR,"OMCTPR,N102BTPR",
R104BTPR,"R104ATPR,N102BTPR",
N102BTPR,"03_13TPR,N104BTPR,R104BTPR",
R102BTPR,"03_13TPR,R102ATPR",
03_13TPR,"15TPR,N102BTPR,R102BTPR",
15TPR,"H02TPR,03_13TPR",
H02TPR,"C02TPR,15TPR",
C02TPR,H02TPR,
N111ATPR,"01ATPR,113TPR",
R111ATPR,"01ATPR,R111BTPR",
113TPR,"N111ATPR,SLAC_VPR",
01ATPR,"01BTPR,N111ATPR,R111ATPR",
01BTPR,"01CTPR,01ATPR",
01CTPR,"N104ATPR,01BTPR,R104ATPR",
N104ATPR,"112TPR,01CTPR",
R104ATPR,"R104BTPR,01CTPR",
112TPR,N104ATPR,
N103ATPR,"N105BTPR,R105BTPR ",
R103ATPR,"N105BTPR,R105BTPR,R103BTPR",
N105BTPR,"02ATPR,N103ATPR,R103ATPR",
R105BTPR,"R105ATPR,N103ATPR,R103ATPR",
02ATPR,"02BTPR,N105BTPR",
02BTPR,"02CTPR,02ATPR",
02CTPR,"N106BTPR,02BTPR",
N106BTPR,"N102ATPR,R102ATPR,02CTPR",
R106BTPR,"R106ATPR,R102ATPR,N102ATPR",
N102ATPR,"N106BTPR,R106BTPR",
R102ATPR,"R102BTPR,N106BTPR,R106BTPR",
N105ATPR,"N107BTPR,R107BTPR",
R105ATPR,"N107BTPR,R107BTPR,R105BTPR",
N107BTPR,"03ATPR,N105ATPR,R105ATPR",
R107BTPR,"N107ATPR,R107ATPR,N105ATPR,R105ATPR",
03ATPR,"03BTPR,N107BTPR",
03BTPR,"03CTPR,03ATPR",
03CTPR,"N108BTPR,03BTPR",
N108BTPR,"N106ATPR,R106ATPR,03CTPR",
R108BTPR,"N106ATPR,R106ATPR,N108ATPR,R108ATPR",
N106ATPR,"N108BTPR,R108BTPR",
R106ATPR,"R106BTPR,N108BTPR,R108BTPR",
N107ATPR,"GL1AC_VPR,R107BTPR",
R107ATPR,"109TPR,R107BTPR",
N108ATPR,"GL1AC_VPR,R108BTPR",
R108ATPR,"110T,R108BTPR",
GL1AC_VPR,"N107ATPR,N108ATPR",
109TPR,"GL2AC_VPR,R107ATPR",
GL2AC_VPR,"109TPR,110T",
110T,"R108ATPR,GL2AC_VPR",
SLAC_VPR,"N101BTPR,113TPR",
N101BTPR,SLAC_VPR,
R101BTPR,R101ATPR,
