Interval_id,Circuit_Name,Successor_ID,Successor_Track,Current_Dntime,Successor_Dntime,Current_Uptime,Successor_Uptime
T2217,C01TPR,T2465,H01TPR,2025-05-15 02:22:42,2025-05-15 02:22:49,2025-05-15 02:23:46,2025-05-15 02:23:53
T2465,H01TPR,T2103,16TPR,2025-05-15 02:22:49,2025-05-15 02:22:58,2025-05-15 02:23:53,2025-05-15 02:24:00
T2103,16TPR,T412,04_14TPR,2025-05-15 02:22:58,2025-05-15 02:23:05,2025-05-15 02:24:00,2025-05-15 02:24:11
T412,04_14TPR,T545,N101ATPR,2025-05-15 02:23:05,2025-05-15 02:23:18,2025-05-15 02:24:11,2025-05-15 02:24:21
T545,N101ATPR,T1021,N103BTPR,2025-05-15 02:23:18,2025-05-15 02:23:29,2025-05-15 02:24:21,2025-05-15 02:24:32
T1021,N103BTPR,T1814,111CTPR,2025-05-15 02:23:29,2025-05-15 02:23:41,2025-05-15 02:24:32,2025-05-15 02:24:49
T1814,111CTPR,T1699,N111BTPR,2025-05-15 02:23:41,2025-05-15 02:24:00,2025-05-15 02:24:49,2025-05-15 02:24:57
T1699,N111BTPR,T2690,OMATPR,2025-05-15 02:24:00,2025-05-15 02:24:09,2025-05-15 02:24:57,2025-05-15 02:25:14
T2690,OMATPR,T2770,OMBTPR,2025-05-15 02:24:09,2025-05-15 02:24:27,2025-05-15 02:25:14,2025-05-15 02:25:30
T2770,OMBTPR,T2848,OMCTPR,2025-05-15 02:24:27,2025-05-15 02:24:45,2025-05-15 02:25:30,2025-05-15 02:25:47
T2848,OMCTPR,T1247,N104BTPR,2025-05-15 02:24:45,2025-05-15 02:25:03,2025-05-15 02:25:47,2025-05-15 02:25:57
T1247,N104BTPR,T799,N102BTPR,2025-05-15 02:25:03,2025-05-15 02:25:14,2025-05-15 02:25:57,2025-05-15 02:26:01
T799,N102BTPR,T235,03_13TPR,2025-05-15 02:25:14,2025-05-15 02:25:18,2025-05-15 02:26:01,2025-05-15 02:26:10
T235,03_13TPR,T1993,15TPR,2025-05-15 02:25:18,2025-05-15 02:25:28,2025-05-15 02:26:10,2025-05-15 02:26:16
