SlNo,SIGNAL_NAME,SIGNAL_STATUS,SIGNAL_TIME
1,102BTPR,Up,05/15/2025 00:12:18:578
2,102BTPR,Down,05/15/2025 00:12:23:109
3,102BTPR,Up,05/15/2025 00:12:27:531
4,102NDKR,Down,05/15/2025 00:17:52:234
5,102RDKR,Up,05/15/2025 00:17:55:281
6,102RDKR,Down,05/15/2025 00:18:09:421
7,102NDKR,Up,05/15/2025 00:18:12:437
8,UD_GDRA.BPAC_VPR2,Up,05/15/2025 00:18:22:406
9,UD_GDRA.BPAC_VPR1,Up,05/15/2025 00:18:23:312
10,UD_GDRA.BPAC_VPR,Up,05/15/2025 00:18:23:468
11,104NDKR,Down,05/15/2025 00:18:38:015
12,104RDKR,Up,05/15/2025 00:18:41:031
13,104RDKR,Down,05/15/2025 00:18:49:750
14,104NDKR,Up,05/15/2025 00:18:52:765
15,UD_STBD.BPAC_VPR1,Down,05/15/2025 01:51:24:421
16,UD_STBD.BPAC_VPR2,Down,05/15/2025 01:51:24:656
17,C01TPR,Down,05/15/2025 02:22:41:671
18,H01TPR,Down,05/15/2025 02:22:49:203
19,16TPR,Down,05/15/2025 02:22:57:562
20,04_14TPR,Down,05/15/2025 02:23:05:296
21,101ATPR,Down,05/15/2025 02:23:17:875
22,103BTPR,Down,05/15/2025 02:23:28:562
23,111CTPR,Down,05/15/2025 02:23:41:171
24,C01TPR,Up,05/15/2025 02:23:46:281
25,H01TPR,Up,05/15/2025 02:23:53:406
26,UD_STBD.BPAC_VPR2,Up,05/15/2025 02:23:58:093
27,UD_STBD.BPAC_VPR1,Up,05/15/2025 02:23:58:140
28,111BTPR,Down,05/15/2025 02:23:59:796
29,16TPR,Up,05/15/2025 02:23:59:921
30,OMATPR,Down,05/15/2025 02:24:08:593
31,OMTPR,Down,05/15/2025 02:24:08:593
32,04_14TPR,Up,05/15/2025 02:24:11:265
33,101ATPR,Up,05/15/2025 02:24:20:875
34,OMBTPR,Down,05/15/2025 02:24:27:203
35,103BTPR,Up,05/15/2025 02:24:32:265
36,OMCTPR,Down,05/15/2025 02:24:45:359
37,111CTPR,Up,05/15/2025 02:24:49:140
38,111BTPR,Up,05/15/2025 02:24:57:125
39,104BTPR,Down,05/15/2025 02:25:03:265
40,OMATPR,Up,05/15/2025 02:25:13:828
41,102BTPR,Down,05/15/2025 02:25:14:296
42,03_13TPR,Down,05/15/2025 02:25:18:281
43,15TPR,Down,05/15/2025 02:25:27:890
44,UD_GDRA.BPAC_VPR1,Down,05/15/2025 02:25:29:671
45,UD_GDRA.BPAC_VPR2,Down,05/15/2025 02:25:29:781
46,OMBTPR,Up,05/15/2025 02:25:30:000
47,UD_GDRA.BPAC_VPR,Down,05/15/2025 02:25:30:796
48,H02TPR,Down,05/15/2025 02:25:33:546
49,C02TPR,Down,05/15/2025 02:25:39:062
50,OMCTPR,Up,05/15/2025 02:25:46:546
51,OMTPR,Up,05/15/2025 02:25:46:640
52,104BTPR,Up,05/15/2025 02:25:56:875
53,102BTPR,Up,05/15/2025 02:26:00:968
54,03_13TPR,Up,05/15/2025 02:26:10:406
55,15TPR,Up,05/15/2025 02:26:16:031
56,H02TPR,Up,05/15/2025 02:26:21:515
57,C02TPR,Up,05/15/2025 02:26:26:203
58,UD_GDRA.BPAC_VPR2,Up,05/15/2025 02:50:27:968
59,UD_GDRA.BPAC_VPR1,Up,05/15/2025 02:50:29:187
60,UD_GDRA.BPAC_VPR,Up,05/15/2025 02:50:29:187
61,UD_GDRA.BPAC_VPR1,Down,05/15/2025 03:17:13:968
62,UD_GDRA.BPAC_VPR2,Down,05/15/2025 03:17:14:312
63,UD_GDRA.BPAC_VPR,Down,05/15/2025 03:17:15:578
64,C02TPR,Down,05/15/2025 03:42:45:921
65,H02TPR,Down,05/15/2025 03:42:52:015
66,15TPR,Down,05/15/2025 03:42:58:890
67,03_13TPR,Down,05/15/2025 03:43:05:718
68,102BTPR,Down,05/15/2025 03:43:17:031
69,104BTPR,Down,05/15/2025 03:43:21:312
70,OMTPR,Down,05/15/2025 03:43:32:718
71,OMCTPR,Down,05/15/2025 03:43:32:734
72,C02TPR,Up,05/15/2025 03:43:41:000
73,H02TPR,Up,05/15/2025 03:43:46:968
74,OMBTPR,Down,05/15/2025 03:43:50:750
75,UD_GDRA.BPAC_VPR2,Up,05/15/2025 03:43:51:531
76,UD_GDRA.BPAC_VPR1,Up,05/15/2025 03:43:51:718
77,UD_GDRA.BPAC_VPR,Up,05/15/2025 03:43:52:812
78,15TPR,Up,05/15/2025 03:43:53:125
79,03_13TPR,Up,05/15/2025 03:44:03:656
80,102BTPR,Up,05/15/2025 03:44:08:125
81,OMATPR,Down,05/15/2025 03:44:08:500
82,104BTPR,Up,05/15/2025 03:44:19:859
83,111BTPR,Down,05/15/2025 03:44:26:703
84,111CTPR,Down,05/15/2025 03:44:35:328
85,OMCTPR,Up,05/15/2025 03:44:39:296
86,103BTPR,Down,05/15/2025 03:44:53:531
87,OMBTPR,Up,05/15/2025 03:44:58:640
88,101ATPR,Down,05/15/2025 03:45:05:718
89,04_14TPR,Down,05/15/2025 03:45:15:937
90,OMATPR,Up,05/15/2025 03:45:18:562
91,OMTPR,Up,05/15/2025 03:45:18:640
92,16TPR,Down,05/15/2025 03:45:27:703
93,111BTPR,Up,05/15/2025 03:45:27:875
94,UD_STBD.BPAC_VPR1,Down,05/15/2025 03:45:29:828
95,UD_STBD.BPAC_VPR2,Down,05/15/2025 03:45:29:890
96,H01TPR,Down,05/15/2025 03:45:34:671
97,C01TPR,Down,05/15/2025 03:45:41:921
98,111CTPR,Up,05/15/2025 03:45:46:921
99,103BTPR,Up,05/15/2025 03:45:59:671
100,101ATPR,Up,05/15/2025 03:46:10:468
101,04_14TPR,Up,05/15/2025 03:46:22:921
102,16TPR,Up,05/15/2025 03:46:30:265
103,H01TPR,Up,05/15/2025 03:46:38:625
104,C01TPR,Up,05/15/2025 03:46:45:359
105,UD_STBD.BPAC_VPR2,Up,05/15/2025 04:15:29:968
106,UD_STBD.BPAC_VPR1,Up,05/15/2025 04:15:30:421
107,UD_STBD.BPAC_VPR1,Down,05/15/2025 07:35:41:703
108,UD_STBD.BPAC_VPR2,Down,05/15/2025 07:35:42:250
109,105NDKR,Down,05/15/2025 08:04:07:140
110,103NDKR,Down,05/15/2025 08:04:07:156
111,105RDKR,Up,05/15/2025 08:04:10:375
112,103RDKR,Up,05/15/2025 08:04:10:921
113,C01TPR,Down,05/15/2025 08:05:21:843
114,H01TPR,Down,05/15/2025 08:05:31:187
115,16TPR,Down,05/15/2025 08:05:42:062
116,04_14TPR,Down,05/15/2025 08:05:52:890
117,101ATPR,Down,05/15/2025 08:06:12:859
